node_id,lat,lng,type,name,notes
n339,55.873635,-4.291691,,,
n340,55.873569,-4.291257,,,
n341,55.873523,-4.291387,,,
n342,55.873582,-4.291226,,,
n343,55.873596,-4.291193,,,
n344,55.873602,-4.291180,,,
n345,55.873615,-4.291150,,,
n346,55.873625,-4.291126,,,
n347,55.873634,-4.291105,,,
n348,55.873640,-4.291091,,,
n349,55.873650,-4.291067,,,
n350,55.873657,-4.291052,,,
n351,55.873676,-4.291006,,,
n352,55.873682,-4.291013,,,
n353,55.873714,-4.291044,,,
n354,55.873707,-4.291081,,,
n355,55.873790,-4.291031,,,
n356,55.873790,-4.290579,,,
n357,55.873816,-4.290470,,,
n358,55.873822,-4.290465,,,
n359,55.873795,-4.290325,,,
n360,55.873786,-4.290223,,,
n361,55.873575,-4.290471,,,
n362,55.873467,-4.289855,,,
n363,55.873494,-4.290437,,,
n364,55.873488,-4.290430,,,
n365,55.873502,-4.290448,,,
n366,55.873583,-4.290317,,,
n367,55.873458,-4.290597,,,
n368,55.873449,-4.290586,,,
n369,55.873416,-4.290680,,,
n370,55.873430,-4.290648,,,
n371,55.873412,-4.290691,,,
n372,55.873475,-4.290667,,,
n373,55.873477,-4.290663,,,
n374,55.873471,-4.290675,,,
n375,55.873446,-4.290655,,,
n376,55.873437,-4.290676,,,
n377,55.873434,-4.290639,,,
n378,55.873433,-4.290688,,,
n379,55.873406,-4.290754,,,
n380,55.873397,-4.290725,,,
n381,55.873384,-4.290708,,,
n382,55.873426,-4.290609,,,
n383,55.873208,-4.291191,,,
n384,55.873049,-4.291337,,,
n385,55.873750,-4.292777,,,
n386,55.873764,-4.292747,,,
n387,55.873780,-4.292711,,,
n388,55.873797,-4.292672,,,
n389,55.873818,-4.292623,,,
n390,55.873841,-4.292570,,,
n391,55.873883,-4.292495,,,
n392,55.873895,-4.292472,,,
n393,55.873919,-4.292424,,,
n394,55.873942,-4.290153,,,
n395,55.873876,-4.290512,,,
n396,55.871030,-4.293975,,,
n397,55.870448,-4.286622,,,
n398,55.870541,-4.286665,,,
n399,55.872193,-4.286293,,,
n400,55.872408,-4.287665,,,
n401,55.874384,-4.291986,,,
n402,55.872145,-4.293641,,,
